x,y,v
0.0,0.0,4.0
0.31395259764656686,0.31333308391076065,3.998026728428272
0.6266661678215213,0.621724717912137,3.992114701314478
0.936906572928623,0.9203113817116948,3.982287250728689
1.243449435824274,1.2043841852542883,3.968583161128631
1.545084971874737,1.469463130731183,3.9510565162951536
1.8406227634233896,1.7113677648217216,3.9297764858882513
2.1288964578253635,1.926283106939473,3.9048270524660196
2.4087683705085765,2.110819813755038,3.8763066800438635
2.679133974894983,2.262067631165049,3.8443279255020153
2.938926261462366,2.3776412907378837,3.8090169943749475
3.1871199487434483,2.4557181268217216,3.770513242775789
3.422735529643443,2.495066821070679,3.7289686274214118
3.644843137107058,2.495066821070679,3.6845471059286887
3.852566213878946,2.4557181268217216,3.6374239897486897
4.045084971874736,2.377641290737884,3.5877852522924734
4.221639627510076,2.2620676311650487,3.5358267949789965
4.381533400219318,2.1108198137550374,3.481753674101715
4.524135262330098,1.926283106939473,3.425779291565073
4.648882429441256,1.711367764821722,3.368124552684678
4.755282581475767,1.4694631307311832,3.3090169943749475
4.842915805643155,1.204384185254288,3.2486898871648546
4.911436253643443,0.9203113817116954,3.187381314585725
4.960573506572389,0.6217247179121381,3.1253332335643043
4.990133642141358,0.3133330839107613,3.0627905195293135
5.0,3.061616997868383e-16,3.0
4.990133642141358,-0.3133330839107607,2.9372094804706865
4.9605735065723895,-0.6217247179121365,2.8746667664356957
4.911436253643443,-0.9203113817116948,2.812618685414275
4.842915805643155,-1.2043841852542885,2.751310112835145
4.755282581475768,-1.4694631307311816,2.690983005625053
4.648882429441257,-1.711367764821721,2.631875447315322
4.524135262330097,-1.9262831069394735,2.574220708434927
4.381533400219317,-2.1108198137550382,2.518246325898285
4.221639627510075,-2.2620676311650496,2.464173205021003
4.045084971874737,-2.3776412907378837,2.412214747707527
3.852566213878946,-2.4557181268217216,2.3625760102513103
3.644843137107057,-2.495066821070679,2.3154528940713113
3.422735529643444,-2.495066821070679,2.2710313725785887
3.187119948743449,-2.4557181268217216,2.229486757224211
2.9389262614623664,-2.377641290737884,2.1909830056250525
2.679133974894985,-2.2620676311650496,2.155672074497985
2.408768370508576,-2.1108198137550374,2.1236933199561365
2.1288964578253644,-1.926283106939474,2.095172947533981
1.8406227634233907,-1.7113677648217225,2.0702235141117487
1.5450849718747375,-1.4694631307311834,2.0489434837048464
1.2434494358242763,-1.2043841852542903,2.031416838871369
0.9369065729286229,-0.9203113817116947,2.017712749271311
0.6266661678215226,-0.6217247179121383,2.0078852986855225
0.3139525976465679,-0.31333308391076165,2.001973271571728
6.123233995736766e-16,-6.123233995736766e-16,2.0
-0.31395259764656674,0.3133330839107604,2.001973271571728
-0.6266661678215214,0.6217247179121372,2.007885298685522
-0.9369065729286239,0.9203113817116955,2.017712749271311
-1.243449435824273,1.2043841852542871,2.031416838871369
-1.5450849718747364,1.4694631307311823,2.0489434837048464
-1.8406227634233896,1.7113677648217216,2.0702235141117487
-2.1288964578253613,1.9262831069394717,2.0951729475339804
-2.408768370508577,2.110819813755038,2.1236933199561365
-2.6791339748949823,2.2620676311650483,2.1556720744979847
-2.9389262614623632,2.377641290737883,2.190983005625052
-3.1871199487434483,2.4557181268217216,2.229486757224211
-3.422735529643442,2.495066821070679,2.2710313725785882
-3.644843137107058,2.495066821070679,2.3154528940713113
-3.852566213878947,2.4557181268217216,2.3625760102513107
-4.045084971874736,2.377641290737884,2.4122147477075266
-4.2216396275100765,2.2620676311650483,2.4641732050210035
-4.381533400219318,2.110819813755038,2.518246325898285
-4.524135262330099,1.9262831069394715,2.574220708434928
-4.648882429441257,1.711367764821721,2.631875447315322
-4.755282581475767,1.4694631307311834,2.6909830056250525
-4.842915805643156,1.2043841852542867,2.7513101128351454
-4.911436253643443,0.9203113817116949,2.812618685414275
-4.960573506572389,0.6217247179121387,2.8746667664356953
-4.990133642141358,0.31333308391075976,2.937209480470687
-5.0,9.184850993605148e-16,3.0
-4.990133642141358,-0.3133330839107579,3.062790519529313
-4.9605735065723895,-0.6217247179121369,3.1253332335643043
-4.911436253643443,-0.9203113817116931,3.1873813145857244
-4.842915805643155,-1.204384185254289,3.248689887164855
-4.755282581475768,-1.469463130731182,3.3090169943749475
-4.648882429441258,-1.7113677648217196,3.3681245526846775
-4.524135262330099,-1.9262831069394701,3.425779291565072
-4.3815334002193165,-2.110819813755039,3.4817536741017157
-4.221639627510075,-2.262067631165049,3.5358267949789965
-4.045084971874738,-2.3776412907378837,3.587785252292473
-3.852566213878948,-2.455718126821721,3.6374239897486893
-3.6448431371070606,-2.4950668210706786,3.684547105928688
-3.422735529643445,-2.495066821070679,3.7289686274214113
-3.1871199487434483,-2.4557181268217216,3.7705132427757895
-2.938926261462367,-2.3776412907378845,3.8090169943749475
-2.6791339748949854,-2.26206763116505,3.844327925502015
-2.4087683705085805,-2.11081981375504,3.876306680043863
-2.128896457825365,-1.9262831069394744,3.904827052466019
-1.8406227634233894,-1.7113677648217211,3.9297764858882513
-1.5450849718747381,-1.4694631307311836,3.9510565162951536
-1.2434494358242767,-1.2043841852542907,3.968583161128631
-0.9369065729286234,-0.9203113817116952,3.982287250728689
-0.6266661678215233,-0.621724717912139,3.9921147013144775
-0.3139525976465663,-0.31333308391076004,3.998026728428272
