x,y,δ,v
0.0,0.0,0.0044640343834680615,4.0
0.31395259764656686,0.31333308391076065,0.009242451394055683,3.998026728428272
0.6266661678215213,0.621724717912137,0.014690245288388424,3.992114701314478
0.936906572928623,0.9203113817116948,0.02125021527487437,3.982287250728689
1.243449435824274,1.2043841852542883,0.029513503007245694,3.968583161128631
1.545084971874737,1.469463130731183,0.0402990870587279,3.9510565162951536
1.8406227634233896,1.7113677648217216,0.05475033034029153,3.9297764858882513
2.1288964578253635,1.926283106939473,0.0744187624798279,3.9048270524660196
2.4087683705085765,2.110819813755038,0.10122417341728039,3.8763066800438635
2.679133974894983,2.262067631165049,0.13699505587732191,3.8443279255020153
2.938926261462366,2.3776412907378837,0.1820365888771769,3.8090169943749475
3.1871199487434483,2.4557181268217216,0.23236914939185696,3.770513242775789
3.422735529643443,2.495066821070679,0.2772628665804723,3.7289686274214118
3.644843137107058,2.495066821070679,0.30185569156756525,3.6845471059286887
3.852566213878946,2.4557181268217216,0.2967494385019921,3.6374239897486897
4.045084971874736,2.377641290737884,0.26572468596464893,3.5877852522924734
4.221639627510076,2.2620676311650487,0.22211586815362097,3.5358267949789965
4.381533400219318,2.1108198137550374,0.178777524212728,3.481753674101715
4.524135262330098,1.926283106939473,0.14252365096905462,3.425779291565073
4.648882429441256,1.711367764821722,0.114933195015212,3.368124552684678
4.755282581475767,1.4694631307311832,0.09508681450903637,3.3090169943749475
4.842915805643155,1.204384185254288,0.0814457521348747,3.2486898871648546
4.911436253643443,0.9203113817116954,0.07265066930487336,3.187381314585725
4.960573506572389,0.6217247179121381,0.06774112240097822,3.1253332335643043
4.990133642141358,0.3133330839107613,0.06616426738348243,3.0627905195293135
5.0,3.061616997868383e-16,0.0677411224009784,3.0
4.990133642141358,-0.3133330839107607,0.07265066930487335,2.9372094804706865
4.9605735065723895,-0.6217247179121365,0.08144575213487426,2.8746667664356957
4.911436253643443,-0.9203113817116948,0.09508681450905826,2.812618685414275
4.842915805643155,-1.2043841852542885,0.11493319501521257,2.751310112835145
4.755282581475768,-1.4694631307311816,0.14252365096905356,2.690983005625053
4.648882429441257,-1.711367764821721,0.17877752421270796,2.631875447315322
4.524135262330097,-1.9262831069394735,0.22211586815362072,2.574220708434927
4.381533400219317,-2.1108198137550382,0.2657246859646508,2.518246325898285
4.221639627510075,-2.2620676311650496,0.29674943850199337,2.464173205021003
4.045084971874737,-2.3776412907378837,0.301855691567571,2.412214747707527
3.852566213878946,-2.4557181268217216,0.2772628665804731,2.3625760102513103
3.644843137107057,-2.495066821070679,0.23236914939185835,2.3154528940713113
3.422735529643444,-2.495066821070679,0.18203658887717683,2.2710313725785887
3.187119948743449,-2.4557181268217216,0.13699505587730512,2.229486757224211
2.9389262614623664,-2.377641290737884,0.10122417341728011,2.1909830056250525
2.679133974894985,-2.2620676311650496,0.07441876247982777,2.155672074497985
2.408768370508576,-2.1108198137550374,0.05475033034031279,2.1236933199561365
2.1288964578253644,-1.926283106939474,0.040299087058727846,2.095172947533981
1.8406227634233907,-1.7113677648217225,0.029513503007245777,2.0702235141117487
1.5450849718747375,-1.4694631307311834,0.02125021527487434,2.0489434837048464
1.2434494358242763,-1.2043841852542903,0.014690245288431504,2.031416838871369
0.9369065729286229,-0.9203113817116947,0.00924245139405571,2.017712749271311
0.6266661678215226,-0.6217247179121383,0.004464034383468054,2.0078852986855225
0.3139525976465679,-0.31333308391076165,0.0,2.001973271571728
6.123233995736766e-16,-6.123233995736766e-16,0.004464034383342063,2.0
-0.31395259764656674,0.3133330839107604,0.009242451394055664,2.001973271571728
-0.6266661678215214,0.6217247179121372,0.014690245288431582,2.007885298685522
-0.9369065729286239,0.9203113817116955,0.021250215274874456,2.017712749271311
-1.243449435824273,1.2043841852542871,0.02951350300724561,2.031416838871369
-1.5450849718747364,1.4694631307311823,0.04029908705872804,2.0489434837048464
-1.8406227634233896,1.7113677648217216,0.05475033034029146,2.0702235141117487
-2.1288964578253613,1.9262831069394717,0.07441876247982766,2.0951729475339804
-2.408768370508577,2.110819813755038,0.10122417341729918,2.1236933199561365
-2.6791339748949823,2.2620676311650483,0.13699505587732141,2.1556720744979847
-2.9389262614623632,2.377641290737883,0.1820365888771764,2.190983005625052
-3.1871199487434483,2.4557181268217216,0.23236914939185693,2.229486757224211
-3.422735529643442,2.495066821070679,0.27726286658047034,2.2710313725785882
-3.644843137107058,2.495066821070679,0.30185569156758074,2.3154528940713113
-3.852566213878947,2.4557181268217216,0.29674943850198415,2.3625760102513107
-4.045084971874736,2.377641290737884,0.2657246859646408,2.4122147477075266
-4.2216396275100765,2.2620676311650483,0.2221158681536291,2.4641732050210035
-4.381533400219318,2.110819813755038,0.17877752421271767,2.518246325898285
-4.524135262330099,1.9262831069394715,0.14252365096905545,2.574220708434928
-4.648882429441257,1.711367764821721,0.11493319501519136,2.631875447315322
-4.755282581475767,1.4694631307311834,0.09508681450903622,2.6909830056250525
-4.842915805643156,1.2043841852542867,0.08144575213487515,2.7513101128351454
-4.911436253643443,0.9203113817116949,0.07265066930487317,2.812618685414275
-4.960573506572389,0.6217247179121387,0.06774112240097822,2.8746667664356953
-4.990133642141358,0.31333308391075976,0.06616426738345951,2.937209480470687
-5.0,9.184850993605148e-16,0.06774112240100166,3.0
-4.990133642141358,-0.3133330839107579,0.07265066930487316,3.062790519529313
-4.9605735065723895,-0.6217247179121369,0.08144575213487425,3.1253332335643043
-4.911436253643443,-0.9203113817116931,0.09508681450903618,3.1873813145857244
-4.842915805643155,-1.204384185254289,0.1149331950152132,3.248689887164855
-4.755282581475768,-1.469463130731182,0.1425236509690553,3.3090169943749475
-4.648882429441258,-1.7113677648217196,0.17877752421270635,3.3681245526846775
-4.524135262330099,-1.9262831069394701,0.2221158681536271,3.425779291565072
-4.3815334002193165,-2.110819813755039,0.26572468596463616,3.4817536741017157
-4.221639627510075,-2.262067631165049,0.2967494385020027,3.5358267949789965
-4.045084971874738,-2.3776412907378837,0.3018556915675739,3.587785252292473
-3.852566213878948,-2.455718126821721,0.2772628665804724,3.6374239897486893
-3.6448431371070606,-2.4950668210706786,0.23236914939185502,3.684547105928688
-3.422735529643445,-2.495066821070679,0.18203658887717655,3.7289686274214113
-3.1871199487434483,-2.4557181268217216,0.13699505587732277,3.7705132427757895
-2.938926261462367,-2.3776412907378845,0.10122417341728124,3.8090169943749475
-2.6791339748949854,-2.26206763116505,0.0744187624798278,3.844327925502015
-2.4087683705085805,-2.11081981375504,0.05475033034029091,3.876306680043863
-2.128896457825365,-1.9262831069394744,0.040299087058727846,3.904827052466019
-1.8406227634233894,-1.7113677648217211,0.029513503007245923,3.9297764858882513
-1.5450849718747381,-1.4694631307311836,0.021250215274874352,3.9510565162951536
-1.2434494358242767,-1.2043841852542907,0.014690245288431512,3.968583161128631
-0.9369065729286234,-0.9203113817116952,0.009242451394055662,3.982287250728689
-0.6266661678215233,-0.621724717912139,0.0044640343833420495,3.9921147013144775
-0.3139525976465663,-0.31333308391076004,3.3291868127577114e-08,3.998026728428272
