x,y,v,theta,a,delta
-4.7544185,1.0779522,1.9966087,1.846262858812908,-0.0171726658726431,-0.3099064915059414
-4.808725439938807,1.2700855372521274,1.9948914334127357,1.6525165459157736,0.03243057371615877,-0.011129351920142258
-4.825009597519017,1.4689089375925755,1.9981344907843515,1.6457884351554746,0.027321630018024158,-0.11615669470316975
-4.839979988344291,1.6681607928691549,2.000866653786154,1.575138069101115,0.027219666250429646,-0.13392595651794648
-4.84084871035493,1.8682455723612548,2.003588620411197,1.4934466556255663,0.030013764351874604,-0.12156283113433607
-4.82536646734658,2.0680053624838988,2.006589996846384,1.4192742960360547,0.0333169655052258,-0.096764327834856
-4.795078416265049,2.2663653083301365,2.009921693396907,1.3602516822597281,0.03492323488816965,-0.07339201934598419
-4.753072550647773,2.4629190144504185,2.013414016885724,1.315470580324493,0.03351595154638664,-0.05382157798104093
-4.702221643791748,2.6577331445997454,2.0167656120403628,1.2826009206582678,0.030697244030109438,-0.03878649606519501
-4.644900623459178,2.851092230155916,2.0198353364433737,1.2588850051259495,0.026934852147283073,-0.02734029305523472
-4.582916261256291,3.0433298089633762,2.022528821658102,1.2421466252210285,0.022646385439316078,-0.018099827832738162
-4.517636050305802,3.234757921848179,2.0247934602020337,1.2310522550515448,0.018653414825585034,-0.00976608400028928
-4.450160657915964,3.425663545093296,2.0266588016845923,1.2250598515040265,0.014814058044938811,-0.0009468696063286964
-4.381479285823733,3.6163368995820258,2.0281402074890864,1.2244783417479026,0.011215711608176093,0.01173094773354267
-4.312636762583579,3.8071096282574515,2.029261778649904,1.231688371508661,0.011692433406154666,0.06005977309562659
-4.245134185228998,3.9984795206475097,2.0304310219905197,1.268665267774298,0.010147562628305606,0.09712663522672701
-4.184717611194025,4.192325694023441,2.0314457782533504,1.328614180251544,0.006429077408112267,-0.05889221407282682
-4.1359991411965265,4.389541895642213,2.032088685994162,1.2923187732546118,0.0063802881958231515,0.1650852895344238
-4.080138613652016,4.584922154982567,2.032726714813744,1.3949093978667646,0.005605081154243469,-0.2503101821012682
-4.044569666555622,4.785058680818379,2.0332872229291685,1.2374209061603119,0.0037921988997284273,-0.2579418222689062
-3.978033500450858,4.977192769176872,2.0336664428191416,1.0748695035114428,0.0219255512512945,-0.4000000096584024
-3.881262088269747,5.156059439607559,2.035858997944271,0.8143178658289143,0.02670116381347614,-0.4000000096967822
-3.74152792537772,5.304118827408438,2.0385291143256183,0.55348531979618,0.010730785467865404,-0.40000000977197636
-3.568110739687793,5.411275204759099,2.039602192872405,0.29231068063905746,0.010123900608457945,-0.40000000978875494
-3.37280239589438,5.470049535009415,2.0406145829332507,0.030998559546948745,0.009228069045336587,-0.4000000098028269
-3.1688389721692247,5.476374133266311,2.041537389837784,-0.2304432681203034,0.008774780577508894,-0.400000009816524
-2.9700819874243765,5.429743562219058,2.042414867895535,-0.4920033250436363,0.008365586573966634,-0.40000000982849127
-2.7900659362968607,5.333261407068673,2.043251426552932,-0.7536758037279914,0.0077102482454083745,-0.4000000098392545
-2.641076463642453,5.193436870740934,2.0440224513774727,-1.0154554616132674,0.007238924492741419,-0.4000000098488941
-2.533308860648553,5.019752036738938,2.044746343826747,-1.2773339025589867,0.006148371675772361,-0.4000000098570995
-2.474160820289544,4.824019092583853,2.045361180994324,-1.5393050880037453,0.004144192124472667,-0.40000000986320494
-2.4677207891040287,4.619584385145233,2.0457756002067713,-1.8013550458748506,0.0009683224147160722,-0.4000000098675693
-2.5144711587415935,4.42042017901681,2.0458724324482427,-2.0634580987908286,-0.0032005809508032445,-0.40000000987026424
-2.611235357382914,4.240163057216256,2.0455523743531625,-2.325573557774284,-0.008525573183486693,-0.4000000098714248
-2.7513815539411475,4.091160074855232,2.0446998170348136,-2.587648011184064,-0.03633442707216553,-0.4000000085330877
-2.925274293156376,3.9835994469933294,2.041066374327597,-2.84961323468828,-0.04589620189017459,-0.4000000085157515
-3.12074231706109,3.9248476719146645,2.0364767541385795,-3.111112944551423,-0.057046872171398394,-0.4000000084852058
-3.3242954041634682,3.918641511059541,2.0307720669214397,-3.372024636107931,-0.06985514647800052,-0.40000000847968975
-3.522004837951408,3.9650239610717595,2.0237865522736396,-3.6322054479248354,-0.06225053463425961,-0.4000000098454859
-3.7005117764439626,4.060378001372376,2.0175614988102137,-3.8914912824586674,-0.06150645656155818,-0.4000000098334521
-3.8481484458259603,4.197887847814745,2.0114108531540578,-4.149979568358717,-0.060597148112936934,-0.4000000098203621
-3.9554021103831394,4.3680477362753205,2.005351138342764,-4.407679838690095,-0.08233866022904095,-0.40000000566501726
-4.015565798590351,4.559345050688857,1.99711727231986,-4.664603740469256,-0.05815818950489098,-0.4000000097904476
-4.025105439906804,4.758828807515163,1.991301453369371,-4.920472729199403,-0.057012181901304214,-0.4000000097731274
-3.9839680660783223,4.95366343291939,1.9856002351792406,-5.175596600074566,-0.07437254972692878,-0.3999999814681485
-3.8952474736257376,5.131299970304864,1.9781629802065477,-5.429990015584943,-0.07099991067194211,-0.3999999255703303
-3.7651675865054712,5.280331882086789,1.9710629891393534,-5.683430536808429,-0.06635732490381767,-0.3623612962621215
-3.6024614502500545,5.391586573207584,1.9644272566489716,-5.9098645193382096,-0.0620420689556257,-0.3064845065290396
-3.419549432561968,5.463231100227637,1.958223049753409,-6.098244540278163,-0.05813080173956816,-0.2678586952226192
-3.227066457031781,5.499240533115436,1.9524099695794521,-6.261105904079488,-0.05540839590842373,-0.23973266297199755
-3.0318730481375593,5.503550987544563,1.9468691299886098,-6.405722315314544,-0.05284527455675736,-0.2171525195110735
-2.838645950124139,5.4797542926829195,1.9415846025329342,-6.535886118422938,-0.0504878882694834,-0.04821919763670106
-2.6506538271775306,5.431210813224222,1.9365358137059858,-6.564278324133581,-0.04955364319875687,-0.03178743791115393
-2.464600606087592,5.377490160773628,1.9315804493861102,-6.582938401024457,-0.05034380373802943,-0.19500765999837213
-2.280055589291303,5.320453618976603,1.9265460690123073,-6.698550962567367,-0.050303948222597046,-0.003121581974754798
-2.103782628876229,5.24271276107824,1.9215156741900477,-6.700373353784411,-0.05194885090051261,0.022174421623381672
-1.9281115301080562,5.164854621367846,1.9163207890999965,-6.687459570847187,-0.05592755907478624,-0.05190467117228357
-1.7519272754881696,5.089475830641255,1.9107280331925178,-6.717627880058373,-0.05615437946261916,-0.05198079627569215
-1.5786042171140438,5.009052366377914,1.905112595246256,-6.7477523396912735,-0.05680202885426726,-0.02237724083809202
-1.4082841725857143,4.92369650871409,1.8994323923608292,-6.760673030756585,-0.054995874268154145,-0.02451349935641235
